token_id,metadata_cover
1198,RARE
2,UNCOMMON
3,UNCOMMON
4,UNCOMMON
5,RARE
6,UNCOMMON
7,RARE
8,UNCOMMON
9,RARE
10,UNCOMMON
11,UNCOMMON
12,UNCOMMON
14,UNCOMMON
15,RARE
16,UNCOMMON
17,UNCOMMON
18,UNCOMMON
19,UNCOMMON
20,UNCOMMON
21,RARE
22,UNCOMMON
23,UNCOMMON
24,UNCOMMON
25,RARE
26,UNCOMMON
27,UNCOMMON
28,UNCOMMON
29,UNCOMMON
31,RARE
32,UNCOMMON
33,RARE
34,UNCOMMON
35,UNCOMMON
36,UNCOMMON
37,UNCOMMON
38,RARE
39,UNCOMMON
40,UNCOMMON
41,RARE
2830,UNCOMMON
43,UNCOMMON
44,EPIC
45,RARE
46,UNCOMMON
47,RARE
48,UNCOMMON
49,UNCOMMON
50,UNCOMMON
51,UNCOMMON
52,UNCOMMON
53,UNCOMMON
55,RARE
56,UNCOMMON
57,RARE
58,RARE
59,UNCOMMON
60,UNCOMMON
61,UNCOMMON
62,UNCOMMON
63,EPIC
64,UNCOMMON
65,UNCOMMON
66,UNCOMMON
67,RARE
68,UNCOMMON
69,UNCOMMON
70,UNCOMMON
72,UNCOMMON
73,RARE
74,UNCOMMON
75,UNCOMMON
76,UNCOMMON
77,UNCOMMON
78,UNCOMMON
79,UNCOMMON
80,UNCOMMON
81,RARE
82,UNCOMMON
1,UNCOMMON
13,UNCOMMON
30,RARE
42,UNCOMMON
54,UNCOMMON
71,UNCOMMON
83,UNCOMMON
84,UNCOMMON
85,EPIC
86,UNCOMMON
87,UNCOMMON
88,UNCOMMON
89,RARE
90,RARE
91,UNCOMMON
92,UNCOMMON
93,UNCOMMON
94,UNCOMMON
95,UNCOMMON
96,UNCOMMON
97,RARE
98,UNCOMMON
99,UNCOMMON
100,RARE
101,RARE
102,UNCOMMON
103,UNCOMMON
104,RARE
105,UNCOMMON
106,UNCOMMON
107,EPIC
108,UNCOMMON
109,EPIC
110,UNCOMMON
111,RARE
2930,RARE
1303,UNCOMMON
1304,RARE
1305,UNCOMMON
2847,EPIC
113,UNCOMMON
114,UNCOMMON
115,UNCOMMON
116,UNCOMMON
117,RARE
118,UNCOMMON
119,UNCOMMON
120,RARE
121,EPIC
122,UNCOMMON
123,UNCOMMON
125,UNCOMMON
126,UNCOMMON
127,RARE
128,UNCOMMON
129,RARE
130,RARE
131,UNCOMMON
132,EPIC
133,UNCOMMON
134,UNCOMMON
135,RARE
136,UNCOMMON
137,UNCOMMON
138,UNCOMMON
139,UNCOMMON
140,UNCOMMON
142,UNCOMMON
143,UNCOMMON
144,UNCOMMON
145,UNCOMMON
146,EPIC
147,UNCOMMON
148,RARE
149,UNCOMMON
150,RARE
151,UNCOMMON
152,UNCOMMON
2941,EPIC
154,UNCOMMON
155,EPIC
156,UNCOMMON
157,UNCOMMON
158,UNCOMMON
159,UNCOMMON
160,RARE
161,UNCOMMON
162,UNCOMMON
163,UNCOMMON
164,EPIC
166,UNCOMMON
167,UNCOMMON
168,UNCOMMON
169,UNCOMMON
170,UNCOMMON
171,UNCOMMON
172,UNCOMMON
173,UNCOMMON
174,UNCOMMON
175,RARE
176,RARE
177,UNCOMMON
178,RARE
179,UNCOMMON
180,EPIC
181,UNCOMMON
183,UNCOMMON
184,UNCOMMON
185,RARE
186,UNCOMMON
187,UNCOMMON
